window_start,window_end,market_slug,open_price,close_price,token_ids
2026-06-23T09:50:00+00:00,2026-06-23T09:55:00+00:00,btc-updown-5m-1782208200,62385.05,,"[""8783215891756722572731572568291138163976909989409110178619634370682457867916"", ""59426901737111065744656229227809798586023791938941310296844483104955208640842""]"
2026-06-23T09:55:00+00:00,2026-06-23T10:00:00+00:00,btc-updown-5m-1782208500,62404.0,,"[""67209540162868922232799905678815692811783729039059161632372396847419414538145"", ""28048670975725799233635885120674707121496254026224299219258342757837287476987""]"
2026-06-23T10:00:00+00:00,2026-06-23T10:05:00+00:00,btc-updown-5m-1782208800,62396.88,,"[""114813435482228110791698253609756973935858572944747377464300142381660265863027"", ""94052027613715951942296440946265229373051647657507456561591205363532317593506""]"
2026-06-23T10:05:00+00:00,2026-06-23T10:10:00+00:00,btc-updown-5m-1782209100,62561.59,,"[""19728291411430127269874138567194901238045691761555415177864178368618743227401"", ""39815663722326458239077007513843758678654114073503768299837512838126437395231""]"
2026-06-23T10:10:00+00:00,2026-06-23T10:15:00+00:00,btc-updown-5m-1782209400,62454.01,,"[""108397335720812304139487126403341786960913041697701701242483754090574098744065"", ""18714755246901744744437283010519668163181839621330204740114176918787501103055""]"
2026-06-23T10:15:00+00:00,2026-06-23T10:20:00+00:00,btc-updown-5m-1782209700,62468.65,,"[""58824889687680298829112716269448932900977094550272759774302381242608548045371"", ""8361478663807763855205793264159824136262945579584278437327362138145842363083""]"
2026-06-23T10:20:00+00:00,2026-06-23T10:25:00+00:00,btc-updown-5m-1782210000,62447.99,,"[""36809646192203047974808113109537351764330910156993775446116453275049490549398"", ""19977361423238565863282079087042385868199847525102692804004370765531994569655""]"
2026-06-23T10:25:00+00:00,2026-06-23T10:30:00+00:00,btc-updown-5m-1782210300,62380.32,,"[""25179467152475738087665318478083382767102808478110932121791657519095379367120"", ""10747988367161511033448478208046368095672842883301767058483402273671681711313""]"
2026-06-23T10:30:00+00:00,2026-06-23T10:35:00+00:00,btc-updown-5m-1782210600,62372.96,,"[""9648613238113146989283833330719572144749590616687665132993452947759987079805"", ""35447823879640927915980532495133861534916619965484074833487806060579241075520""]"
2026-06-23T10:35:00+00:00,2026-06-23T10:40:00+00:00,btc-updown-5m-1782210900,62303.99,,"[""24320733116339304639078094515830612695293718022696076781331107080437083642607"", ""46289947896111808609886831945421054385049449198840365198338108946718687206361""]"
