ticker,open_time,close_time,result
KXBTC15M-26JUN230945-45,2026-06-23T13:30:00Z,2026-06-23T13:45:00Z,yes
KXBTC15M-26JUN231230-30,2026-06-23T16:15:00Z,2026-06-23T16:30:00Z,no
KXBTC15M-26JUN261530-30,2026-06-26T19:15:00Z,2026-06-26T19:30:00Z,no
KXBTC15M-26JUN271845-45,2026-06-27T22:30:00Z,2026-06-27T22:45:00Z,yes
KXBTC15M-26JUN281415-15,2026-06-28T18:00:00Z,2026-06-28T18:15:00Z,yes
KXBTC15M-26JUN290815-15,2026-06-29T12:00:00Z,2026-06-29T12:15:00Z,yes
KXBTC15M-26JUN231015-15,2026-06-23T14:00:00Z,2026-06-23T14:15:00Z,yes
KXBTC15M-26JUN222230-30,2026-06-23T02:15:00Z,2026-06-23T02:30:00Z,yes
KXBTC15M-26JUN230315-15,2026-06-23T07:00:00Z,2026-06-23T07:15:00Z,yes
KXBTC15M-26JUN262200-00,2026-06-27T01:45:00Z,2026-06-27T02:00:00Z,no
KXBTC15M-26JUN291430-30,2026-06-29T18:15:00Z,2026-06-29T18:30:00Z,no
KXBTC15M-26JUN281845-45,2026-06-28T22:30:00Z,2026-06-28T22:45:00Z,no
KXBTC15M-26JUN231500-00,2026-06-23T18:45:00Z,2026-06-23T19:00:00Z,yes
KXBTC15M-26JUN261245-45,2026-06-26T16:30:00Z,2026-06-26T16:45:00Z,yes
KXBTC15M-26JUN261200-00,2026-06-26T15:45:00Z,2026-06-26T16:00:00Z,no
KXBTC15M-26JUN262215-15,2026-06-27T02:00:00Z,2026-06-27T02:15:00Z,yes
KXBTC15M-26JUN281630-30,2026-06-28T20:15:00Z,2026-06-28T20:30:00Z,yes
KXBTC15M-26JUN272015-15,2026-06-28T00:00:00Z,2026-06-28T00:15:00Z,yes
KXBTC15M-26JUN272145-45,2026-06-28T01:30:00Z,2026-06-28T01:45:00Z,yes
KXBTC15M-26JUN271245-45,2026-06-27T16:30:00Z,2026-06-27T16:45:00Z,yes
KXBTC15M-26JUN260845-45,2026-06-26T12:30:00Z,2026-06-26T12:45:00Z,no
KXBTC15M-26JUN271730-30,2026-06-27T21:15:00Z,2026-06-27T21:30:00Z,yes
KXBTC15M-26JUN231745-45,2026-06-23T21:30:00Z,2026-06-23T21:45:00Z,yes
