ts,resolved_ts,side,entry_price,delta,p_model,pnl,outcome,window_start,sigma,dfo,snr,ofi1,ofi5,btc
2026-05-13T07:19:08.323157+00:00,2026-05-13T07:26:37.182551+00:00,NO,0.94,-20.52,0.7340021611873074,6.3,DOWN,2026-05-13T07:15:00+00:00,,,68.16,-388298.0,233682.0,80995.49
2026-05-13T07:23:05.142041+00:00,2026-05-13T07:31:00.552226+00:00,NO,0.95,-56.26,0.7516452558514763,5.21,DOWN,2026-05-13T07:20:00+00:00,,,64.3,-276248.0,-846230.5,80918.745
2026-05-13T07:28:00.037014+00:00,2026-05-13T07:34:22.160195+00:00,YES,0.92,28.39,0.628632376904086,8.56,UP,2026-05-13T07:25:00+00:00,,,,,,
2026-05-13T07:38:55.163667+00:00,2026-05-13T07:44:04.929805+00:00,YES,0.95,22.15,0.6821807189653835,-100.0,DOWN,2026-05-13T07:35:00+00:00,,,,,,
2026-05-13T07:58:01.075885+00:00,2026-05-13T08:03:10.018534+00:00,YES,0.88,34.46,0.6212350807198793,13.36,UP,2026-05-13T07:55:00+00:00,,,,,,
2026-05-13T08:03:00.685340+00:00,2026-05-13T08:09:34.530383+00:00,YES,0.86,30.91,0.6086544788444908,15.92,UP,2026-05-13T08:00:00+00:00,,,,,,
2026-05-13T08:08:01.197984+00:00,2026-05-13T08:14:40.119203+00:00,NO,0.94,-63.35,0.7150375857084573,6.3,DOWN,2026-05-13T08:05:00+00:00,,,65.129,-128772.2,-238062.6,80994.35800000001
2026-05-13T08:13:00.047451+00:00,2026-05-13T08:18:43.002637+00:00,NO,0.91,-27.13,0.6446178915248821,-100.0,UP,2026-05-13T08:10:00+00:00,,,46.16,-159985.0,148320.0,80972.87
2026-05-13T08:18:00.859715+00:00,2026-05-13T08:24:46.040957+00:00,YES,0.74,57.27,0.7844122567797894,34.21,UP,2026-05-13T08:15:00+00:00,,,,,,
2026-05-13T08:23:00.479403+00:00,2026-05-13T08:30:31.389654+00:00,YES,0.82,30.05,0.6597351030837403,21.41,UP,2026-05-13T08:20:00+00:00,,,,,,
2026-05-13T08:28:00.240350+00:00,2026-05-13T08:34:54.069028+00:00,YES,0.84,27.51,0.646595636712253,-100.0,DOWN,2026-05-13T08:25:00+00:00,,,,,,
2026-05-13T08:38:00.853751+00:00,2026-05-13T08:44:40.685195+00:00,YES,0.92,21.74,0.647838709292714,8.56,UP,2026-05-13T08:35:00+00:00,,,,,,
2026-05-13T08:48:37.765009+00:00,2026-05-13T08:54:48.110765+00:00,NO,0.86,-20.4,0.6007627405300678,15.92,DOWN,2026-05-13T08:45:00+00:00,,,21.654,54340.0,375071.0,81132.56
2026-05-13T08:53:01.256671+00:00,2026-05-13T08:58:10.778314+00:00,YES,0.92,50.22,0.668216451670428,8.56,UP,2026-05-13T08:50:00+00:00,,,,,,
2026-05-13T08:59:12.239733+00:00,2026-05-13T09:04:53.673170+00:00,YES,0.65,23.87,0.6963716180613074,52.55,UP,2026-05-13T08:55:00+00:00,,,,,,
2026-05-13T09:03:00.649259+00:00,2026-05-13T09:10:17.400143+00:00,YES,0.92,57.1,0.6885237905407258,8.56,UP,2026-05-13T09:00:00+00:00,,,,,,
2026-05-13T09:08:39.516412+00:00,2026-05-13T09:15:01.024276+00:00,NO,0.69,-24.13,0.62094273076002,43.78,DOWN,2026-05-13T09:05:00+00:00,,,28.965,51599.0,1555450.0,81291.61499999999
2026-05-13T09:13:34.117380+00:00,2026-05-13T09:18:43.186873+00:00,NO,0.91,-22.07,0.6109108371463308,9.72,DOWN,2026-05-13T09:10:00+00:00,,,25.054,-159047.5,156587.5,81252.475
2026-05-13T09:18:28.945110+00:00,2026-05-13T09:25:50.037471+00:00,NO,0.7,-24.87,0.6177371155934709,41.75,DOWN,2026-05-13T09:15:00+00:00,,,46.708,-818243.0,-1881471.0,81218.495
2026-05-13T09:23:00.265710+00:00,2026-05-13T09:30:53.461648+00:00,NO,0.94,-34.01,0.6223622858142881,6.3,DOWN,2026-05-13T09:20:00+00:00,,,37.221,77165.5,-497668.5,81169.99
2026-05-13T09:28:00.399609+00:00,2026-05-13T09:35:35.726098+00:00,YES,0.92,31.98,0.6153982783544371,8.56,UP,2026-05-13T09:25:00+00:00,,,,,,
2026-05-13T09:38:26.442233+00:00,2026-05-13T09:45:41.658615+00:00,YES,0.95,52.52,0.7431485157796727,5.21,UP,2026-05-13T09:35:00+00:00,,,,,,
2026-05-13T09:43:00.360934+00:00,2026-05-13T09:50:46.382871+00:00,NO,0.95,-44.37,0.6670321886241641,5.21,DOWN,2026-05-13T09:40:00+00:00,,,57.049,-103837.0,-506245.0,81243.04
2026-05-13T09:48:18.296133+00:00,2026-05-13T09:52:47.781929+00:00,YES,0.62,22.34,0.6008889381103542,-100.0,DOWN,2026-05-13T09:45:00+00:00,,,,,,
