id,ts,side,entry_price,stake,shares,ob_shares,signal,delta,p_model,confidence,window_start,market_slug,pnl,result,outcome,resolved_ts,session_id
4527,2026-05-22T03:08:17.063706+00:00,NO,0.89,100.0,112.12,303.0,BUY NO,-24.64,0.606434778023871,0.606434778023871,2026-05-22T03:05:00+00:00,btc-updown-5m-1779419100,12.12,WIN,DOWN,2026-05-22T03:13:11.301108+00:00,s_third
4529,2026-05-22T03:18:53.084407+00:00,NO,0.87,100.0,114.62,95.0,BUY NO,-25.72,0.7125759106181508,0.7125759106181508,2026-05-22T03:15:00+00:00,btc-updown-5m-1779419700,14.62,WIN,DOWN,2026-05-22T03:22:36.448514+00:00,s_third
4530,2026-05-22T03:23:41.870465+00:00,YES,0.95,100.0,105.21,40.0,BUY YES,56.76,0.855311570183221,0.855311570183221,2026-05-22T03:20:00+00:00,btc-updown-5m-1779420000,5.21,WIN,UP,2026-05-22T03:27:38.947115+00:00,s_third
4532,2026-05-22T03:33:00.846143+00:00,NO,0.81,100.0,122.86,297.0,BUY NO,-23.1,0.6112760260155219,0.6112760260155219,2026-05-22T03:30:00+00:00,btc-updown-5m-1779420600,-100.0,LOSS,UP,2026-05-22T03:38:44.935548+00:00,s_third
4534,2026-05-22T03:38:00.076228+00:00,NO,0.83,100.0,119.98,948.0,BUY NO,-23.74,0.6135529732930013,0.6135529732930013,2026-05-22T03:35:00+00:00,btc-updown-5m-1779420900,19.98,WIN,DOWN,2026-05-22T03:43:49.775489+00:00,s_third
4535,2026-05-22T04:03:00.755679+00:00,YES,0.9,100.0,110.91,221.0,BUY YES,37.4,0.6611290555757376,0.6611290555757376,2026-05-22T04:00:00+00:00,btc-updown-5m-1779422400,10.91,WIN,UP,2026-05-22T04:08:55.753285+00:00,s_third
4536,2026-05-22T04:08:00.549849+00:00,YES,0.94,100.0,106.3,206.0,BUY YES,41.8,0.6784567106272056,0.6784567106272056,2026-05-22T04:05:00+00:00,btc-updown-5m-1779422700,6.3,WIN,UP,2026-05-22T04:13:58.982259+00:00,s_third
4538,2026-05-22T04:18:00.768428+00:00,NO,0.92,100.0,108.56,947.0,BUY NO,-26.71,0.6166412407730218,0.6166412407730218,2026-05-22T04:15:00+00:00,btc-updown-5m-1779423300,8.56,WIN,DOWN,2026-05-22T04:24:04.957246+00:00,s_third
4540,2026-05-22T04:38:00.888183+00:00,NO,0.94,100.0,106.3,413.0,BUY NO,-41.91,0.7113214382359093,0.7113214382359093,2026-05-22T04:35:00+00:00,btc-updown-5m-1779424500,6.3,WIN,DOWN,2026-05-22T04:44:34.004907+00:00,s_third
4542,2026-05-22T04:48:00.557600+00:00,NO,0.89,100.0,112.12,350.0,BUY NO,-34.64,0.6510476752788223,0.6510476752788223,2026-05-22T04:45:00+00:00,btc-updown-5m-1779425100,12.12,WIN,DOWN,2026-05-22T04:54:40.970527+00:00,s_third
4543,2026-05-22T04:53:00.719480+00:00,YES,0.86,100.0,115.92,539.0,BUY YES,28.23,0.6242539701501688,0.6242539701501688,2026-05-22T04:50:00+00:00,btc-updown-5m-1779425400,-100.0,LOSS,DOWN,2026-05-22T04:59:44.584844+00:00,s_third
4545,2026-05-22T05:03:32.206343+00:00,NO,0.84,100.0,118.6,412.0,BUY NO,-25.41,0.650808760671163,0.650808760671163,2026-05-22T05:00:00+00:00,btc-updown-5m-1779426000,18.6,WIN,DOWN,2026-05-22T05:10:52.279632+00:00,s_third
4546,2026-05-22T05:09:15.105237+00:00,YES,0.95,100.0,105.21,322.0,BUY YES,44.55,0.9206354031621444,0.9206354031621444,2026-05-22T05:05:00+00:00,btc-updown-5m-1779426300,5.21,WIN,UP,2026-05-22T05:14:56.151758+00:00,s_third
4548,2026-05-22T05:23:00.778540+00:00,NO,0.94,100.0,106.3,509.0,BUY NO,-35.84,0.6653765875837615,0.6653765875837615,2026-05-22T05:20:00+00:00,btc-updown-5m-1779427200,6.3,WIN,DOWN,2026-05-22T05:31:26.277627+00:00,s_third
4549,2026-05-22T05:43:06.057983+00:00,YES,0.59,100.0,168.03,252.0,BUY YES,23.83,0.6022527221243137,0.6022527221243137,2026-05-22T05:40:00+00:00,btc-updown-5m-1779428400,-100.0,LOSS,DOWN,2026-05-22T05:46:51.626031+00:00,s_third
4550,2026-05-22T05:48:42.303766+00:00,YES,0.94,100.0,106.3,17.0,BUY YES,22.05,0.6374711754680522,0.6374711754680522,2026-05-22T05:45:00+00:00,btc-updown-5m-1779428700,6.3,WIN,UP,2026-05-22T05:52:13.424686+00:00,s_third
4551,2026-05-22T05:53:00.094350+00:00,YES,0.85,100.0,117.24,379.0,BUY YES,25.71,0.6047054573137578,0.6047054573137578,2026-05-22T05:50:00+00:00,btc-updown-5m-1779429000,-100.0,LOSS,DOWN,2026-05-22T05:57:16.314289+00:00,s_third
4552,2026-05-22T06:03:09.981857+00:00,YES,0.77,100.0,129.09,94.0,BUY YES,22.99,0.6007290126552118,0.6007290126552118,2026-05-22T06:00:00+00:00,btc-updown-5m-1779429600,29.09,WIN,UP,2026-05-22T06:07:20.533401+00:00,s_third
4553,2026-05-22T06:13:23.093287+00:00,YES,0.92,100.0,108.56,317.0,BUY YES,22.56,0.6010856556982024,0.6010856556982024,2026-05-22T06:10:00+00:00,btc-updown-5m-1779430200,8.56,WIN,UP,2026-05-22T06:17:25.482397+00:00,s_third
4555,2026-05-22T06:18:29.392765+00:00,NO,0.73,100.0,136.02,816.0,BUY NO,-21.13,0.6012894859080705,0.6012894859080705,2026-05-22T06:15:00+00:00,btc-updown-5m-1779430500,36.02,WIN,DOWN,2026-05-22T06:22:49.408728+00:00,s_third
4556,2026-05-22T06:29:47.230194+00:00,YES,0.78,100.0,127.47,61.0,BUY YES,28.82,0.9935118725151346,0.9935118725151346,2026-05-22T06:25:00+00:00,btc-updown-5m-1779431100,27.47,WIN,UP,2026-05-22T06:32:51.694838+00:00,s_third
4558,2026-05-22T06:33:00.225837+00:00,NO,0.89,100.0,112.12,232.0,BUY NO,-42.36,0.6515474874155542,0.6515474874155542,2026-05-22T06:30:00+00:00,btc-updown-5m-1779431400,12.12,WIN,DOWN,2026-05-22T06:37:35.257779+00:00,s_third
4560,2026-05-22T06:38:07.781223+00:00,NO,0.69,100.0,143.78,766.0,BUY NO,-21.09,0.6001041718948946,0.6001041718948946,2026-05-22T06:35:00+00:00,btc-updown-5m-1779431700,43.78,WIN,DOWN,2026-05-22T06:42:39.381939+00:00,s_third
4561,2026-05-22T06:48:00.855822+00:00,YES,0.77,100.0,129.09,280.0,BUY YES,23.87,0.6064520865889711,0.6064520865889711,2026-05-22T06:45:00+00:00,btc-updown-5m-1779432300,29.09,WIN,UP,2026-05-22T06:53:02.609305+00:00,s_third
4563,2026-05-22T06:53:25.642842+00:00,NO,0.84,100.0,118.6,150.0,BUY NO,-25.94,0.6445667439664344,0.6445667439664344,2026-05-22T06:50:00+00:00,btc-updown-5m-1779432600,18.6,WIN,DOWN,2026-05-22T06:58:06.647532+00:00,s_third
4565,2026-05-22T06:58:03.404336+00:00,NO,0.75,100.0,132.45,441.0,BUY NO,-39.6,0.676642171152575,0.676642171152575,2026-05-22T06:55:00+00:00,btc-updown-5m-1779432900,32.45,WIN,DOWN,2026-05-22T07:02:51.199801+00:00,s_third
4567,2026-05-22T07:08:00.033314+00:00,NO,0.9,100.0,110.91,474.0,BUY NO,-53.69,0.6841648790249606,0.6841648790249606,2026-05-22T07:05:00+00:00,btc-updown-5m-1779433500,10.91,WIN,DOWN,2026-05-22T07:12:56.781041+00:00,s_third
4569,2026-05-22T07:23:41.836423+00:00,NO,0.79,100.0,125.89,749.0,BUY NO,-21.09,0.6134415749315485,0.6134415749315485,2026-05-22T07:20:00+00:00,btc-updown-5m-1779434400,25.89,WIN,DOWN,2026-05-22T07:28:02.714963+00:00,s_third
4570,2026-05-22T07:28:00.022906+00:00,YES,0.95,100.0,105.21,804.0,BUY YES,38.52,0.6341907191682425,0.6341907191682425,2026-05-22T07:25:00+00:00,btc-updown-5m-1779434700,5.21,WIN,UP,2026-05-22T07:33:45.720997+00:00,s_third
4572,2026-05-22T07:33:34.098054+00:00,NO,0.89,100.0,112.12,349.0,BUY NO,-20.6,0.6011106434528488,0.6011106434528488,2026-05-22T07:30:00+00:00,btc-updown-5m-1779435000,12.12,WIN,DOWN,2026-05-22T07:39:10.074775+00:00,s_third
4573,2026-05-22T07:43:00.729039+00:00,YES,0.81,100.0,122.86,91.0,BUY YES,36.78,0.6944974483857146,0.6944974483857146,2026-05-22T07:40:00+00:00,btc-updown-5m-1779435600,22.86,WIN,UP,2026-05-22T07:49:35.840241+00:00,s_third
4575,2026-05-22T07:48:02.089935+00:00,NO,0.93,100.0,107.42,52.0,BUY NO,-43.83,0.7332061713857939,0.7332061713857939,2026-05-22T07:45:00+00:00,btc-updown-5m-1779435900,7.42,WIN,DOWN,2026-05-22T07:54:40.955849+00:00,s_third
4577,2026-05-22T07:53:42.264370+00:00,NO,0.8,100.0,124.36,708.0,BUY NO,-20.25,0.6686724135886787,0.6686724135886787,2026-05-22T07:50:00+00:00,btc-updown-5m-1779436200,24.36,WIN,DOWN,2026-05-22T08:01:08.006888+00:00,s_third
4579,2026-05-22T07:58:23.681099+00:00,NO,0.94,100.0,106.3,136.0,BUY NO,-29.88,0.698366621884103,0.698366621884103,2026-05-22T07:55:00+00:00,btc-updown-5m-1779436500,6.3,WIN,DOWN,2026-05-22T08:02:49.288021+00:00,s_third
4580,2026-05-22T08:03:00.863663+00:00,YES,0.95,100.0,105.21,615.0,BUY YES,55.05,0.7554860811684108,0.7554860811684108,2026-05-22T08:00:00+00:00,btc-updown-5m-1779436800,5.21,WIN,UP,2026-05-22T08:10:16.004228+00:00,s_third
4582,2026-05-22T08:08:19.647179+00:00,NO,0.91,100.0,109.72,152.0,BUY NO,-40.46,0.7271558645537157,0.7271558645537157,2026-05-22T08:05:00+00:00,btc-updown-5m-1779437100,9.72,WIN,DOWN,2026-05-22T08:15:20.210836+00:00,s_third
4583,2026-05-22T08:13:00.303814+00:00,YES,0.8,100.0,124.36,175.0,BUY YES,25.82,0.6267184719943835,0.6267184719943835,2026-05-22T08:10:00+00:00,btc-updown-5m-1779437400,24.36,WIN,UP,2026-05-22T08:20:23.165695+00:00,s_third
4585,2026-05-22T08:23:27.499140+00:00,NO,0.94,100.0,106.3,369.0,BUY NO,-34.81,0.6253584046948681,0.6253584046948681,2026-05-22T08:20:00+00:00,btc-updown-5m-1779438000,6.3,WIN,DOWN,2026-05-22T08:30:30.466969+00:00,s_third
4587,2026-05-22T08:28:04.710525+00:00,NO,0.9,100.0,110.91,181.0,BUY NO,-54.27,0.6553921386869864,0.6553921386869864,2026-05-22T08:25:00+00:00,btc-updown-5m-1779438300,10.91,WIN,DOWN,2026-05-22T08:31:51.900027+00:00,s_third
4589,2026-05-22T08:33:55.613594+00:00,NO,0.77,100.0,129.09,65.0,BUY NO,-35.19,0.6787654151597067,0.6787654151597067,2026-05-22T08:30:00+00:00,btc-updown-5m-1779438600,29.09,WIN,DOWN,2026-05-22T08:36:55.010354+00:00,s_third
4591,2026-05-22T08:39:39.638943+00:00,NO,0.95,100.0,105.21,386.0,BUY NO,-22.53,0.6696040003549533,0.6696040003549533,2026-05-22T08:35:00+00:00,btc-updown-5m-1779438900,5.21,WIN,DOWN,2026-05-22T08:41:56.861629+00:00,s_third
4592,2026-05-22T08:44:40.497301+00:00,YES,0.93,100.0,107.42,154.0,BUY YES,20.81,0.6639078737542139,0.6639078737542139,2026-05-22T08:40:00+00:00,btc-updown-5m-1779439200,7.42,WIN,UP,2026-05-22T08:46:58.126604+00:00,s_third
4594,2026-05-22T09:04:22.128913+00:00,YES,0.95,100.0,105.21,391.0,BUY YES,24.66,0.6019266662932752,0.6019266662932752,2026-05-22T09:00:00+00:00,btc-updown-5m-1779440400,5.21,WIN,UP,2026-05-22T09:12:27.391079+00:00,s_third
4596,2026-05-22T09:14:04.360602+00:00,NO,0.9,100.0,110.91,293.0,BUY NO,-20.35,0.704174646423504,0.704174646423504,2026-05-22T09:10:00+00:00,btc-updown-5m-1779441000,10.91,WIN,DOWN,2026-05-22T09:17:30.487959+00:00,s_third
4597,2026-05-22T09:19:05.368953+00:00,YES,0.88,100.0,113.36,20.0,BUY YES,20.6,0.7098465145900164,0.7098465145900164,2026-05-22T09:15:00+00:00,btc-updown-5m-1779441300,13.36,WIN,UP,2026-05-22T09:22:32.039610+00:00,s_third
4598,2026-05-22T09:23:00.699541+00:00,YES,0.95,100.0,105.21,624.0,BUY YES,60.24,0.7347857448219421,0.7347857448219421,2026-05-22T09:20:00+00:00,btc-updown-5m-1779441600,5.21,WIN,UP,2026-05-22T09:27:34.977445+00:00,s_third
4600,2026-05-22T09:28:37.973905+00:00,NO,0.78,100.0,127.47,382.0,BUY NO,-24.83,0.64661439593384,0.64661439593384,2026-05-22T09:25:00+00:00,btc-updown-5m-1779441900,27.47,WIN,DOWN,2026-05-22T09:32:18.430350+00:00,s_third
4602,2026-05-22T09:33:00.189708+00:00,NO,0.9,100.0,110.91,746.0,BUY NO,-42.3,0.6697099959436748,0.6697099959436748,2026-05-22T09:30:00+00:00,btc-updown-5m-1779442200,10.91,WIN,DOWN,2026-05-22T09:37:22.847477+00:00,s_third
4603,2026-05-22T09:38:06.407715+00:00,YES,0.82,100.0,121.41,136.0,BUY YES,23.16,0.6000587510143547,0.6000587510143547,2026-05-22T09:35:00+00:00,btc-updown-5m-1779442500,21.41,WIN,UP,2026-05-22T09:42:24.929239+00:00,s_third
4604,2026-05-22T09:43:00.513879+00:00,YES,0.92,100.0,108.56,415.0,BUY YES,37.17,0.6504192289064564,0.6504192289064564,2026-05-22T09:40:00+00:00,btc-updown-5m-1779442800,8.56,WIN,UP,2026-05-22T09:47:27.079216+00:00,s_third
4606,2026-05-22T09:48:01.168152+00:00,NO,0.84,100.0,118.6,306.0,BUY NO,-34.87,0.6423290692781469,0.6423290692781469,2026-05-22T09:45:00+00:00,btc-updown-5m-1779443100,18.6,WIN,DOWN,2026-05-22T09:53:11.937163+00:00,s_third
4607,2026-05-22T09:53:00.244106+00:00,YES,0.95,100.0,105.21,374.0,BUY YES,45.39,0.739782011728117,0.739782011728117,2026-05-22T09:50:00+00:00,btc-updown-5m-1779443400,5.21,WIN,UP,2026-05-22T09:58:34.838843+00:00,s_third
4609,2026-05-22T09:58:21.921121+00:00,NO,0.81,100.0,122.86,293.0,BUY NO,-20.79,0.6404215945115794,0.6404215945115794,2026-05-22T09:55:00+00:00,btc-updown-5m-1779443700,22.86,WIN,DOWN,2026-05-22T10:03:38.910141+00:00,s_third
4610,2026-05-22T10:03:00.598044+00:00,YES,0.87,100.0,114.62,651.0,BUY YES,20.17,0.6127657642281903,0.6127657642281903,2026-05-22T10:00:00+00:00,btc-updown-5m-1779444000,-100.0,LOSS,DOWN,2026-05-22T10:08:43.828532+00:00,s_third
4611,2026-05-22T10:08:00.634715+00:00,YES,0.95,100.0,105.21,876.0,BUY YES,35.03,0.6906730386483594,0.6906730386483594,2026-05-22T10:05:00+00:00,btc-updown-5m-1779444300,5.21,WIN,UP,2026-05-22T10:13:46.232784+00:00,s_third
4613,2026-05-22T10:18:00.458817+00:00,NO,0.88,100.0,113.36,433.0,BUY NO,-31.93,0.6844503836959767,0.6844503836959767,2026-05-22T10:15:00+00:00,btc-updown-5m-1779444900,13.36,WIN,DOWN,2026-05-22T10:23:52.821551+00:00,s_third
